Name,Description
Operation 25,1941,German invasion of Yugoslavia
Operation 505,1943,German anti-partisan operation in Tuzla, Bosnia, Yugoslavia
Operation A-Bewegung,1939,German preparation for the invasion of Poland; part of Fall Weiss
Operation A-Go,1944,Japanese attack of the American fleet off Saipan, Mariana Islands
Fall Achse,1943,German response to Italian surrender to the Allies
Operation Adler,1940,German attacks on the British Royal Air Force, aimed to soften defenses for a future ground invasion; also known as Operation Adlerangriff
Operation Adler,1942,German anti-partisan operation in Chechivichi region of Belorussia
Operation Adler,1943,Axis anti-partisan operation on the north Dalmatian coast in Yugoslavia, with focus in the cities of Rijeka, Karlobag, and Zadar
Operation Adlerangriff,1940,German attacks on the British Royal Air Force, aimed to soften defenses for a future ground invasion; also known as Operation Adler
Operation Aida,1942,Axis attacks in Egypt and Libya with aim on Tobruk, Libya
Operation Aktion 24,1945,Aborted German suicide aerial attack on bridges over river Weichsel in attempt to disrupt Soviet supply lines
Operation AL,1942,Japanese invasion of the Aleutian Islands, Alaska, United States
Operation Alba,1942,Axis anti-partisan operation in the Independent State of Croatia; also known as Operation Albia and Operation Albija
Operation Albia,1942,Axis anti-partisan operation in the Independent State of Croatia; also known as Operation Alba and Operation Albija
Operation Albija,1942,Axis anti-partisan operation in the Independent State of Croatia; also known as Operation Alba and Operation Albia
Operation Alfa,1942,Axis anti-partisan operation in Yugoslavia
Operation Alfred,1940,German mining off Dover, England, Britain using surface vessels
Operation Alpenfestung,1945,German plan for a redoubt in the German Alps
Operation Alpenveilchen,1941,Aborted German intervention during the Italian invasion of Albania
Operation Altenbeken,1940,German attack on Adalsnes, Norway; part of Operation Weserübung
Operation Altona,1940,German attack on Arendal, Norway; part of Operation Weserübung
Operation Ambassador,1940,German commando raid on British crown dependency Bailiwick of Guernsey off the French coast
Operation Amina,1941,Failed German attempt to destroy oil refineries in Abadan, Iran
Operation Antimon,1944,German operations in Romania
Fall Anton,1942,German occuppation of Vichy France after Italian support in 1942
Operation Arashi,1945,Japanese air raid on Ulithi, Caroline Islands
Operation Arnim,1943,German anti-partisan operation in the Fruška gora Mountains in Syrmia in the Independent State of Croatia
Operation Arras,1944,Axis anti-partisan operation in the Lipik-Novska-Okucani region in the Independent State of Croatia
Operation Artus,1941,Irish Republican Army plan to coordinate IRA and German intelligence operations; also known as Plan Kathleen
Operation Aster,1944,German evacuation of Estonia
Operation Attacke,1943,German minelaying operation north of Corsica, France
Operation Attika,1942,German attack on Tuapse, Russia in the Caucasus region
Operation Attila,1940-1942,German occuppation of Vichy France prior to Italian support in 1942
